# training,testing
9.523000000000000353e-01,9.504000000000000226e-01
9.477999999999999758e-01,9.469999999999999529e-01
9.499999999999999556e-01,9.485000000000000098e-01
9.494000000000000217e-01,9.502000000000000446e-01
9.536000000000000032e-01,9.516999999999999904e-01
9.412000000000000366e-01,9.394000000000000128e-01
9.465000000000000080e-01,9.424000000000000155e-01
9.368999999999999551e-01,9.352000000000000313e-01
9.424000000000000155e-01,9.391000000000000458e-01
9.313000000000000167e-01,9.334000000000000075e-01
9.434000000000000163e-01,9.467999999999999750e-01
9.423000000000000265e-01,9.463000000000000300e-01
9.446999999999999842e-01,9.476999999999999869e-01
9.489999999999999547e-01,9.502000000000000446e-01
9.515000000000000124e-01,9.538999999999999702e-01
9.523000000000000353e-01,9.545000000000000151e-01
9.517999999999999794e-01,9.515000000000000124e-01
9.569999999999999618e-01,9.563000000000000389e-01
9.506999999999999895e-01,9.500999999999999446e-01
9.546999999999999931e-01,9.555000000000000160e-01
9.562000000000000499e-01,9.544000000000000261e-01
9.475999999999999979e-01,9.458999999999999631e-01
9.465999999999999970e-01,9.447999999999999732e-01
9.477999999999999758e-01,9.455999999999999961e-01
9.455999999999999961e-01,9.449999999999999512e-01
9.442000000000000393e-01,9.437999999999999723e-01
9.425000000000000044e-01,9.451000000000000512e-01
9.464000000000000190e-01,9.504000000000000226e-01
9.554000000000000270e-01,9.542000000000000481e-01
9.481000000000000538e-01,9.487999999999999767e-01
9.496999999999999886e-01,9.476999999999999869e-01
9.503000000000000336e-01,9.471000000000000529e-01
9.447999999999999732e-01,9.421000000000000485e-01
9.393000000000000238e-01,9.371000000000000441e-01
9.431000000000000494e-01,9.439999999999999503e-01
9.438999999999999613e-01,9.474000000000000199e-01
9.435000000000000053e-01,9.465000000000000080e-01
9.497999999999999776e-01,9.504000000000000226e-01
9.509999999999999565e-01,9.499999999999999556e-01
9.492000000000000437e-01,9.483000000000000318e-01
